"","factor","facet","r_zero_order","sr_focal_factor","sr_all_factors","sr_other_facets"
"1","ipip_neuroticism","ipip_n_anxiety",3.96958780042692e-20,0.368831815058021,0.671554459842774,0.928191341773579
"2","ipip_neuroticism","ipip_n_anger",4.31267764939124e-09,0.000452294119574878,0.235638720937633,0.73683213170318
"3","ipip_neuroticism","ipip_n_depression",7.27939734595133e-46,1.23953637222575e-16,7.91583530349546e-12,8.73938707903219e-09
"4","ipip_neuroticism","ipip_n_self_consciousness",3.50528434844311e-19,0.257673030860282,0.000803496023085632,0.66693657917965
"5","ipip_neuroticism","ipip_n_immoderation",0.00422367028338392,0.000110389307801835,0.0354241093590946,0.964885610072217
"6","ipip_neuroticism","ipip_n_vulnerability",1.1771714832252e-21,0.852831623249993,0.965927760999209,0.37636786240516
"7","ipip_extraversion","ipip_e_friendliness",0,0.453867282624999,0.413286477500066,0.154846049183762
"8","ipip_extraversion","ipip_e_gregariousness",1.70836456092616e-10,0.00305583879968845,0.219755120100202,0.370784656876686
"9","ipip_extraversion","ipip_e_assertiveness",1.89626092605977e-13,0.823500339897271,0.0549950729330792,0.607727334353594
"10","ipip_extraversion","ipip_e_activity_level",3.80360631879739e-10,0.0601263575721624,0.560701187086288,0.55700397572412
"11","ipip_extraversion","ipip_e_excitement_seeking",0.000110439157860798,0.00023386717933119,0.433848834804451,0.665857136003626
"12","ipip_extraversion","ipip_e_cheerfulness",0,4.29778394452717e-09,4.59023749474874e-10,5.73561820764542e-06
"13","ipip_openness","ipip_o_imagination",0.279009797672392,0.37707862661307,0.103849487073907,0.970283681311388
"14","ipip_openness","ipip_o_artistic_interests",0.242035459071814,0.65689192449271,0.852558193751955,0.863455490832042
"15","ipip_openness","ipip_o_emotionality",0.884806171298026,0.0622275011631536,0.39607010794765,0.719551360977972
"16","ipip_openness","ipip_o_adventurousness",3.36476310591749e-07,4.06223885892717e-06,0.840381738129232,0.678533301304803
"17","ipip_openness","ipip_o_intellect",0.000858591207355763,0.015770029760503,0.186024077700939,0.366509647485126
"18","ipip_openness","ipip_o_liberalism",0.0716508978670471,0.000171964777758515,0.490423350971691,0.501874941347911
"19","ipip_agreeableness","ipip_a_trust",2.36921593455008e-11,1.17309615132386e-11,0.233715913022515,0.692525928337629
"20","ipip_agreeableness","ipip_a_morality",0.390145612295763,0.228312002065647,0.576652159777651,0.192029903775608
"21","ipip_agreeableness","ipip_a_altruism",1.05687925211484e-06,2.59940976615152e-07,0.864454886488286,0.764612215286917
"22","ipip_agreeableness","ipip_a_cooperation",0.185035607749384,0.662893401865946,0.455117189404088,0.419135699913962
"23","ipip_agreeableness","ipip_a_modesty",2.82519581797702e-09,3.12541139493695e-18,0.0123608634236005,0.557821574213618
"24","ipip_agreeableness","ipip_a_sympathy",0.116992247900518,0.988965117624958,0.0910423518846682,0.241513008044599
"25","ipip_conscientiousness","ipip_c_self_efficacy",0,9.30386565379271e-12,0.699455929216545,0.323862060671116
"26","ipip_conscientiousness","ipip_c_orderliness",0.197349647372056,2.24444192095638e-08,0.0272557990400534,0.0468940910205795
"27","ipip_conscientiousness","ipip_c_dutifulness",0.00970905589433335,0.00200668857241369,0.0402346408253263,0.168199553418175
"28","ipip_conscientiousness","ipip_c_achievement_striving",8.88178419700125e-16,3.44572827235008e-06,0.00161261053992924,0.00950105910024221
"29","ipip_conscientiousness","ipip_c_self_discipline",8.88178419700125e-15,4.8138196454882e-05,0.275419814014923,0.284785137169375
"30","ipip_conscientiousness","ipip_c_cautiousness",0.260103829868233,2.22760795338566e-06,0.770853520704182,0.283229558423651
